start,stop,description,location,name_surname,activity,course_desc,location_id,prof_id,group_id,course_id,comment,URL
2024-11-15T10:45:00+00:00,2024-11-15T13:15:00+00:00,P-Management kakovosti-UNI-Redni,302,Eva Krhac,P,Management kakovosti,,,,,,
2024-11-27T10:45:00+00:00,2024-11-27T13:15:00+00:00,V-Management kakovosti-UNI-Redni,411,Eva Krhac,V,Management kakovosti,,,,,,
2025-01-09T08:00:00+00:00,2025-01-09T10:30:00+00:00,e-V-Inženiring poslovnih procesov in digitalna transformacija-MAG-Redni,E-učilnica,Eva Krhac,e-V,Inženiring poslovnih procesov in digitalna transformacija,,,,,,
2025-02-28T10:45:00+00:00,2025-02-28T11:30:00+00:00,e-P-Praktikum inženiringa poslovnih sistemov-UNI-Redni,E-učilnica,Eva Krhac,e-P,Praktikum inženiringa poslovnih sistemov,,,,,,
2024-11-06T10:45:00+00:00,2024-11-06T13:15:00+00:00,e-P-Management kakovosti-UNI-Redni,E-učilnica,Eva Krhac,e-P,Management kakovosti,,,,,,
2024-12-02T08:00:00+00:00,2024-12-02T10:30:00+00:00,P-Management kakovosti-UNI-Redni,005,Eva Krhac,P,Management kakovosti,,,,,,
2024-11-29T08:00:00+00:00,2024-11-29T10:30:00+00:00,e-P-Management kakovosti-UNI-Redni,E-učilnica,Eva Krhac,e-P,Management kakovosti,,,,,,
2024-12-16T11:00:00+00:00,2024-12-16T11:30:00+00:00,"Zagovor diplome: Kozić Zerina - - Mentor: Benjamin Urh/FOV, somentor: -VS-Redni",707 Diplomska soba,Eva Krhac,Zagovor,Zagovor,,,,,,
2024-11-11T10:45:00+00:00,2024-11-11T13:15:00+00:00,V-Management kakovosti-UNI-Redni,302,Eva Krhac,V,Management kakovosti,,,,,,
2024-11-29T10:45:00+00:00,2024-11-29T13:15:00+00:00,V-Management kakovosti-UNI-Redni,302,Eva Krhac,V,Management kakovosti,,,,,,
2024-11-22T14:15:00+00:00,2024-11-22T16:45:00+00:00,V-Praktikum inženiringa poslovnih sistemov-UNI-Redni,411,Eva Krhac,V,Praktikum inženiringa poslovnih sistemov,,,,,,
2024-11-08T10:45:00+00:00,2024-11-08T13:15:00+00:00,P-Management kakovosti-UNI-Redni,302,Eva Krhac,P,Management kakovosti,,,,,,
2025-01-24T10:45:00+00:00,2025-01-24T13:15:00+00:00,V-Obvladovanje fizičnih sredstev-UNI-Redni,303,Eva Krhac,V,Obvladovanje fizičnih sredstev,,,,,,
2024-04-17T09:00:00+00:00,2024-04-17T09:30:00+00:00,"Zagovor magisterija: Markelj Uroš - - Mentor: Damjan Maletič/FOV, somentor: -MAG-Redni",707 Diplomska soba,Eva Krhac,Zagovor,Zagovor,,,,,,
2025-01-23T10:45:00+00:00,2025-01-23T13:15:00+00:00,V-Obvladovanje fizičnih sredstev-UNI-Redni,411,Eva Krhac,V,Obvladovanje fizičnih sredstev,,,,,,
2025-01-14T08:00:00+00:00,2025-01-14T12:05:00+00:00,V-Kakovost v zdr. in soc. organizacijah-MAG-Redni,307,Eva Krhac,V,Kakovost v zdr. in soc. organizacijah,,,,,,
2025-01-17T10:45:00+00:00,2025-01-17T13:15:00+00:00,V-Obvladovanje fizičnih sredstev-UNI-Redni,303,Eva Krhac,V,Obvladovanje fizičnih sredstev,,,,,,
2024-12-03T08:00:00+00:00,2024-12-03T10:30:00+00:00,P-Management kakovosti-UNI-Redni,307,Eva Krhac,P,Management kakovosti,,,,,,
2024-11-28T14:15:00+00:00,2024-11-28T16:45:00+00:00,e-V-Management kakovosti-UNI-Redni,E-učilnica,Eva Krhac,e-V,Management kakovosti,,,,,,
2024-11-07T10:45:00+00:00,2024-11-07T13:15:00+00:00,P-Management kakovosti-UNI-Redni,302,Eva Krhac,P,Management kakovosti,,,,,,
2025-01-16T10:45:00+00:00,2025-01-16T13:15:00+00:00,V-Obvladovanje fizičnih sredstev-UNI-Redni,303,Eva Krhac,V,Obvladovanje fizičnih sredstev,,,,,,
2025-05-26T08:00:00+00:00,2025-05-26T10:30:00+00:00,V-Praktikum inženiringa poslovnih sistemov-UNI-Redni,307,Eva Krhac,V,Praktikum inženiringa poslovnih sistemov,,,,,,
2024-11-28T10:45:00+00:00,2024-11-28T13:15:00+00:00,V-Management kakovosti-UNI-Redni,302,Eva Krhac,V,Management kakovosti,,,,,,
2025-01-08T08:00:00+00:00,2025-01-08T10:30:00+00:00,V-Inženiring poslovnih procesov in digitalna transformacija-MAG-Redni,411,Eva Krhac,V,Inženiring poslovnih procesov in digitalna transformacija,,,,,,
2024-12-19T10:45:00+00:00,2024-12-19T13:15:00+00:00,V-Inženiring poslovnih procesov in digitalna transformacija-MAG-Redni,411,Eva Krhac,V,Inženiring poslovnih procesov in digitalna transformacija,,,,,,
2025-01-15T10:45:00+00:00,2025-01-15T13:15:00+00:00,V-Obvladovanje fizičnih sredstev-UNI-Redni,303,Eva Krhac,V,Obvladovanje fizičnih sredstev,,,,,,
2024-12-04T17:00:00+00:00,2024-12-04T21:05:00+00:00,Konzultacije-Računalniški sistemi in komunikacije-VS-Izredni,MS Teams,Gregor Lenart,Konzultacije * VS-I,Računalniški sistemi in komunikacije-,,,,,,
2024-10-07T14:15:00+00:00,2024-10-07T16:45:00+00:00,P-Osnove poslovnih informacijskih sistemov-VS-Redni,301,Gregor Lenart,P,Osnove poslovnih informacijskih sistemov,,,,,,
2023-09-20T09:00:00+00:00,2023-09-20T09:30:00+00:00,"Zagovor diplome: Požun Rok - - Mentor: Gregor Lenart/FOV, somentor: Alenka Brezavšček/FOV-VS-Izredni",707 Diplomska soba,Gregor Lenart,Zagovor,Zagovor,,,,,,
2024-11-05T10:45:00+00:00,2024-11-05T13:15:00+00:00,e-P-E-poslovanje-VS-Redni,E-učilnica,Gregor Lenart,e-P,E,,,,,,
2024-12-03T17:00:00+00:00,2024-12-03T21:05:00+00:00,Konzultacije-E-poslovanje-VS-Izredni,MS Teams,Gregor Lenart,Konzultacije * posl,E-,,,,,,
2024-10-01T10:45:00+00:00,2024-10-01T13:15:00+00:00,P-Računalniški sistemi in komunikacije-VS-Redni,301,Gregor Lenart,P,Računalniški sistemi in komunikacije,,,,,,
2020-01-27T10:00:00+00:00,2020-01-27T10:30:00+00:00,"Zagovor magisterija: Oman Timo - - Mentor: Robert Leskovar/FOV, somentor: -MAG-Redni",707 Diplomska soba,Gregor Lenart,Zagovor,Zagovor,,,,,,
2024-10-10T14:15:00+00:00,2024-10-10T16:45:00+00:00,P-Osnove poslovnih informacijskih sistemov-VS-Redni,306,Gregor Lenart,P,Osnove poslovnih informacijskih sistemov,,,,,,
2024-12-10T10:45:00+00:00,2024-12-10T13:15:00+00:00,V-Management informacijskih sistemov za digitalno preobrazbo-MAG-Redni,MS Teams,Gregor Lenart,V,Management informacijskih sistemov za digitalno preobrazbo,,,,,,
2024-11-13T10:45:00+00:00,2024-11-13T13:15:00+00:00,e-P-E-poslovanje-VS-Redni,E-učilnica,Gregor Lenart,e-P,E,,,,,,
2024-12-09T10:45:00+00:00,2024-12-09T13:15:00+00:00,V-Management informacijskih sistemov za digitalno preobrazbo-MAG-Redni,412,Gregor Lenart,V,Management informacijskih sistemov za digitalno preobrazbo,,,,,,
2022-09-30T13:40:00+00:00,2022-09-30T14:10:00+00:00,"Zagovor diplome: đukić Viktorija - - Mentor: Marjeta Marolt/FOV, somentor: -VS-Redni",707 Diplomska soba,Gregor Lenart,Zagovor,Zagovor,,,,,,
2024-10-02T10:45:00+00:00,2024-10-02T13:15:00+00:00,P-Računalniški sistemi in komunikacije-VS-Redni,306,Gregor Lenart,P,Računalniški sistemi in komunikacije,,,,,,
2024-10-09T14:15:00+00:00,2024-10-09T16:45:00+00:00,P-Osnove poslovnih informacijskih sistemov-VS-Redni,306,Gregor Lenart,P,Osnove poslovnih informacijskih sistemov,,,,,,
2025-01-13T17:00:00+00:00,2025-01-13T21:05:00+00:00,Konzultacije-Informacijski sistemi za krizno upravljanje - vaje-VS-Izredni,MS Teams,Gregor Lenart,Konzultacije *  vaj,Informacijski sistemi za krizno upravljanje -,,,,,,
2024-10-04T14:15:00+00:00,2024-10-04T16:45:00+00:00,P-Osnove poslovnih informacijskih sistemov-VS-Redni,111,Gregor Lenart,P,Osnove poslovnih informacijskih sistemov,,,,,,
2024-10-11T14:15:00+00:00,2024-10-11T16:45:00+00:00,P-Osnove poslovnih informacijskih sistemov-VS-Redni,111,Gregor Lenart,P,Osnove poslovnih informacijskih sistemov,,,,,,
2023-09-05T09:00:00+00:00,2023-09-05T09:30:00+00:00,"Zagovor diplome: Grčar Anže - - Mentor: Uroš Rajkovič/FOV, somentor: -VS-Redni",707 Diplomska soba,Gregor Lenart,Zagovor,Zagovor,,,,,,
2022-09-30T14:00:00+00:00,2022-09-30T14:30:00+00:00,"Zagovor diplome: Ahačič Matic - - Mentor: Alenka Brezavšček/FOV, somentor: -UNI-Redni",707 Diplomska soba,Gregor Lenart,Zagovor,Zagovor,,,,,,
2024-11-11T10:45:00+00:00,2024-11-11T13:15:00+00:00,P-E-poslovanje-VS-Redni,412,Gregor Lenart,P,E,,,,,,
2024-10-16T14:15:00+00:00,2024-10-16T16:45:00+00:00,P-Osnove poslovnih informacijskih sistemov-VS-Redni,301,Gregor Lenart,P,Osnove poslovnih informacijskih sistemov,,,,,,
2024-11-20T10:45:00+00:00,2024-11-20T13:15:00+00:00,P-E-poslovanje-VS-Redni,402,Gregor Lenart,P,E,,,,,,
2024-11-18T10:45:00+00:00,2024-11-18T13:15:00+00:00,P-E-poslovanje-VS-Redni,402,Gregor Lenart,P,E,,,,,,
2023-07-04T10:00:00+00:00,2023-07-04T10:30:00+00:00,"Zagovor diplome: Iaroslav Paramonov - - Mentor: Gregor Lenart/FOV, somentor: -VS-Redni",707 Diplomska soba,Gregor Lenart,Zagovor,Zagovor,,,,,,
2024-10-17T14:15:00+00:00,2024-10-17T16:45:00+00:00,P-Osnove poslovnih informacijskih sistemov-VS-Redni,111,Gregor Lenart,P,Osnove poslovnih informacijskih sistemov,,,,,,
2022-10-25T11:00:00+00:00,2022-10-25T11:30:00+00:00,"Zagovor diplome: Vizovišek Van - - Mentor: Uroš Rajkovič/FOV, somentor: Gregor Lenart/FOV-UNI-Redni",707 Diplomska soba,Gregor Lenart,Zagovor,Zagovor,,,,,,
2024-05-24T13:00:00+00:00,2024-05-24T13:30:00+00:00,"Zagovor magisterija: Porenta Dane - - Mentor: Andrej Škraba/FOV, somentor: -MAG-Izredni",707 Diplomska soba,Gregor Lenart,Zagovor,Zagovor,,,,,,
2024-11-12T10:45:00+00:00,2024-11-12T13:15:00+00:00,P-E-poslovanje-VS-Redni,403,Gregor Lenart,P,E,,,,,,
2024-05-24T12:00:00+00:00,2024-05-24T12:30:00+00:00,"Zagovor diplome: Nartnik Matic - - Mentor: Gregor Lenart/FOV, somentor: -VS-Izredni",707 Diplomska soba,Gregor Lenart,Zagovor,Zagovor,,,,,,
2022-09-07T09:30:00+00:00,2022-09-07T10:00:00+00:00,"Zagovor diplome: Planinšek Karin - - Mentor: Alenka Baggia/FOV, somentor: -UNI-Redni",707 Diplomska soba,Gregor Lenart,Zagovor,Zagovor,,,,,,
2024-11-07T14:30:00+00:00,2024-11-07T15:00:00+00:00,"Zagovor magisterija: Zebec Branko - - Mentor: Andrej Škraba/FOV, somentor: -MAG-Izredni",707 Diplomska soba,Gregor Lenart,Zagovor,Zagovor,,,,,,
2024-10-17T10:45:00+00:00,2024-10-17T13:15:00+00:00,P-Računalniški sistemi in komunikacije-VS-Redni,301,Gregor Lenart,P,Računalniški sistemi in komunikacije,,,,,,
2024-11-04T10:45:00+00:00,2024-11-04T13:15:00+00:00,P-E-poslovanje-VS-Redni,402,Gregor Lenart,P,E,,,,,,
2022-10-13T13:45:00+00:00,2022-10-13T14:15:00+00:00,"Zagovor diplome: Marsetič Andrej - - Mentor: Gregor Lenart/FOV, somentor: -VS-Redni",706 Sejna soba,Gregor Lenart,Zagovor,Zagovor,,,,,,
2024-10-15T14:15:00+00:00,2024-10-15T16:45:00+00:00,e-P-Osnove poslovnih informacijskih sistemov-VS-Redni,E-učilnica,Gregor Lenart,e-P,Osnove poslovnih informacijskih sistemov,,,,,,
2024-10-08T14:15:00+00:00,2024-10-08T16:45:00+00:00,P-Osnove poslovnih informacijskih sistemov-VS-Redni,301,Gregor Lenart,P,Osnove poslovnih informacijskih sistemov,,,,,,
2024-10-03T10:45:00+00:00,2024-10-03T13:15:00+00:00,e-P-Računalniški sistemi in komunikacije-VS-Redni,E-učilnica,Gregor Lenart,e-P,Računalniški sistemi in komunikacije,,,,,,
2024-05-24T13:30:00+00:00,2024-05-24T14:00:00+00:00,"Zagovor diplome: Kirm Iztok - - Mentor: Gregor Lenart/FOV, somentor: -VS-Izredni",707 Diplomska soba,Gregor Lenart,Zagovor,Zagovor,,,,,,
2025-01-07T17:00:00+00:00,2025-01-07T21:05:00+00:00,Konzultacije-Informacijski sistemi za krizno upravljanje-VS-Izredni,MS Teams,Gregor Lenart,Konzultacije * VS-I,Informacijski sistemi za krizno upravljanje-,,,,,,
2024-10-14T14:15:00+00:00,2024-10-14T16:45:00+00:00,e-P-Osnove poslovnih informacijskih sistemov-VS-Redni,E-učilnica,Gregor Lenart,e-P,Osnove poslovnih informacijskih sistemov,,,,,,
2024-10-01T14:15:00+00:00,2024-10-01T16:45:00+00:00,P-Osnove poslovnih informacijskih sistemov-VS-Redni,306,Gregor Lenart,P,Osnove poslovnih informacijskih sistemov,,,,,,
2024-09-20T14:30:00+00:00,2024-09-20T15:00:00+00:00,"Zagovor diplome: Pelipenko Žan - - Mentor: , somentor: -VS-Redni",707 Diplomska soba,Gregor Lenart,Zagovor,Zagovor,,,,,,
2024-10-07T10:45:00+00:00,2024-10-07T13:15:00+00:00,P-Računalniški sistemi in komunikacije-VS-Redni,301,Gregor Lenart,P,Računalniški sistemi in komunikacije,,,,,,
2023-09-27T11:30:00+00:00,2023-09-27T12:00:00+00:00,"Zagovor magisterija: Vengar Rok - - Mentor: Alenka Baggia/FOV, somentor: Gregor Lenart/FOV-MAG-Redni",707 Diplomska soba,Gregor Lenart,Zagovor,Zagovor,,,,,,
2023-09-20T10:00:00+00:00,2023-09-20T10:30:00+00:00,"Zagovor diplome: Domjanić Sanja - - Mentor: Gregor Lenart/FOV, somentor: -VS-Izredni",707 Diplomska soba,Gregor Lenart,Zagovor,Zagovor,,,,,,
2022-09-07T10:00:00+00:00,2022-09-07T10:30:00+00:00,"Zagovor diplome: Kovačič Nejc - - Mentor: Alenka Baggia/FOV, somentor: Marko Urh/FOV-UNI-Redni",707 Diplomska soba,Gregor Lenart,Zagovor,Zagovor,,,,,,
2020-01-31T10:00:00+00:00,2020-01-31T10:30:00+00:00,"Zagovor magisterija: Oman Timo - - Mentor: Robert Leskovar/FOV, somentor: -MAG-Redni",707 Diplomska soba,Gregor Lenart,Zagovor,Zagovor,,,,,,
2024-10-15T10:45:00+00:00,2024-10-15T13:15:00+00:00,P-Računalniški sistemi in komunikacije-VS-Redni,111,Gregor Lenart,P,Računalniški sistemi in komunikacije,,,,,,
2022-09-30T14:30:00+00:00,2022-09-30T15:00:00+00:00,"Zagovor diplome: Kočar Luka - - Mentor: Gregor Lenart/FOV, somentor: -VS-Redni",707 Diplomska soba,Gregor Lenart,Zagovor,Zagovor,,,,,,
2023-09-07T12:00:00+00:00,2023-09-07T12:30:00+00:00,"Zagovor diplome: Bogataj Andrej - - Mentor: Andrej Škraba/FOV, somentor: -VS-Redni",707 Diplomska soba,Gregor Lenart,Zagovor,Zagovor,,,,,,
2024-11-19T10:45:00+00:00,2024-11-19T13:15:00+00:00,P-E-poslovanje-VS-Redni,402,Gregor Lenart,P,E,,,,,,
2024-12-11T14:15:00+00:00,2024-12-11T16:45:00+00:00,e-V-Management informacijskih sistemov za digitalno preobrazbo-MAG-Redni,E-učilnica,Gregor Lenart,e-V,Management informacijskih sistemov za digitalno preobrazbo,,,,,,
2019-10-10T13:15:00+00:00,2019-10-10T13:45:00+00:00,"Zagovor diplome: Železnik Andrej - - Mentor: Gregor Lenart/FOV, somentor: -VS-Izredni",707 Diplomska soba,Gregor Lenart,Zagovor,Zagovor,,,,,,
2024-10-03T14:15:00+00:00,2024-10-03T16:45:00+00:00,P-Osnove poslovnih informacijskih sistemov-VS-Redni,306,Gregor Lenart,P,Osnove poslovnih informacijskih sistemov,,,,,,
2024-10-14T10:45:00+00:00,2024-10-14T13:15:00+00:00,e-P-Računalniški sistemi in komunikacije-VS-Redni,E-učilnica,Gregor Lenart,e-P,Računalniški sistemi in komunikacije,,,,,,
2023-12-08T10:00:00+00:00,2023-12-08T10:30:00+00:00,"Zagovor diplome: Bošnjak Savin Svit - - Mentor: Gregor Lenart/FOV, somentor: -UNI-Redni",707 Diplomska soba,Gregor Lenart,Zagovor,Zagovor,,,,,,
2024-10-08T10:45:00+00:00,2024-10-08T13:15:00+00:00,P-Računalniški sistemi in komunikacije-VS-Redni,111,Gregor Lenart,P,Računalniški sistemi in komunikacije,,,,,,
2024-12-18T10:45:00+00:00,2024-12-18T13:15:00+00:00,V-Management informacijskih sistemov za digitalno preobrazbo-MAG-Redni,412,Gregor Lenart,V,Management informacijskih sistemov za digitalno preobrazbo,,,,,,
2024-12-17T10:45:00+00:00,2024-12-17T13:15:00+00:00,e-V-Management informacijskih sistemov za digitalno preobrazbo-MAG-Redni,E-učilnica,Gregor Lenart,e-V,Management informacijskih sistemov za digitalno preobrazbo,,,,,,
2024-10-09T10:45:00+00:00,2024-10-09T13:15:00+00:00,P-Računalniški sistemi in komunikacije-VS-Redni,111,Gregor Lenart,P,Računalniški sistemi in komunikacije,,,,,,
2024-11-06T10:45:00+00:00,2024-11-06T13:15:00+00:00,P-E-poslovanje-VS-Redni,402,Gregor Lenart,P,E,,,,,,
2024-11-08T10:45:00+00:00,2024-11-08T13:15:00+00:00,e-P-E-poslovanje-VS-Redni,E-učilnica,Gregor Lenart,e-P,E,,,,,,
2024-12-13T10:45:00+00:00,2024-12-13T13:15:00+00:00,e-V-Management informacijskih sistemov za digitalno preobrazbo-MAG-Redni,E-učilnica,Gregor Lenart,e-V,Management informacijskih sistemov za digitalno preobrazbo,,,,,,
2024-10-02T14:15:00+00:00,2024-10-02T16:45:00+00:00,e-P-Osnove poslovnih informacijskih sistemov-VS-Redni,E-učilnica,Gregor Lenart,e-P,Osnove poslovnih informacijskih sistemov,,,,,,
2024-12-16T10:45:00+00:00,2024-12-16T13:15:00+00:00,V-Management informacijskih sistemov za digitalno preobrazbo-MAG-Redni,412,Gregor Lenart,V,Management informacijskih sistemov za digitalno preobrazbo,,,,,,
2024-11-14T10:45:00+00:00,2024-11-14T13:15:00+00:00,P-E-poslovanje-VS-Redni,402,Gregor Lenart,P,E,,,,,,
2023-05-15T13:00:00+00:00,2023-05-15T13:30:00+00:00,"Zagovor diplome: Frantar Anja - - Mentor: Uroš Rajkovič/FOV, somentor: Iztok Bitenc/FOV-UNI-Redni",302,Gregor Lenart,Zagovor,Zagovor,,,,,,
2023-10-18T13:45:00+00:00,2023-10-18T14:30:00+00:00,"Zagovor diplome: Starešinič Miha - - Mentor: Gregor Lenart/FOV, somentor: Benjamin Urh/FOV-VS-Izredni",707 Diplomska soba,Gregor Lenart,Zagovor,Zagovor,,,,,,
2024-10-10T10:45:00+00:00,2024-10-10T13:15:00+00:00,P-Računalniški sistemi in komunikacije-VS-Redni,111,Gregor Lenart,P,Računalniški sistemi in komunikacije,,,,,,
2024-10-16T10:45:00+00:00,2024-10-16T13:15:00+00:00,e-P-Računalniški sistemi in komunikacije-VS-Redni,E-učilnica,Gregor Lenart,e-P,Računalniški sistemi in komunikacije,,,,,,
2024-11-13T17:00:00+00:00,2024-11-13T21:05:00+00:00,Konzultacije-Management informacijskih sistemov za digitalno preobrazbo - vaje-MAG-Izredni,MS Teams,Gregor Lenart,Konzultacije *  vaj,Management informacijskih sistemov za digitalno preobrazbo -,,,,,,
2024-10-11T10:45:00+00:00,2024-10-11T13:15:00+00:00,P-Računalniški sistemi in komunikacije-VS-Redni,306,Gregor Lenart,P,Računalniški sistemi in komunikacije,,,,,,
2024-11-15T10:45:00+00:00,2024-11-15T13:15:00+00:00,P-E-poslovanje-VS-Redni,402,Gregor Lenart,P,E,,,,,,
2024-11-07T10:45:00+00:00,2024-11-07T13:15:00+00:00,P-E-poslovanje-VS-Redni,403,Gregor Lenart,P,E,,,,,,
2020-03-10T13:30:00+00:00,2020-03-10T14:00:00+00:00,"Zagovor diplome: Resnik Urban - - Mentor: Gregor Lenart/FOV, somentor: -VS-Izredni",707 Diplomska soba,Gregor Lenart,Zagovor,Zagovor,,,,,,
2022-09-30T15:00:00+00:00,2022-09-30T15:30:00+00:00,"Zagovor diplome: Jarc Mark - - Mentor: Gregor Lenart/FOV, somentor: -UNI-Redni",707 Diplomska soba,Gregor Lenart,Zagovor,Zagovor,,,,,,
2024-10-04T10:45:00+00:00,2024-10-04T13:15:00+00:00,P-Računalniški sistemi in komunikacije-VS-Redni,111,Gregor Lenart,P,Računalniški sistemi in komunikacije,,,,,,
2024-12-12T10:45:00+00:00,2024-12-12T13:15:00+00:00,e-V-Management informacijskih sistemov za digitalno preobrazbo-MAG-Redni,E-učilnica,Gregor Lenart,e-V,Management informacijskih sistemov za digitalno preobrazbo,,,,,,
2025-01-09T17:00:00+00:00,2025-01-09T21:05:00+00:00,Konzultacije-Kakovost programske opreme-MAG-Izredni,410,Robert Leskovar,Konzultacije * MAG-,Kakovost programske opreme-,,,,,,
2024-10-01T10:45:00+00:00,2024-10-01T13:15:00+00:00,P-Uvod v inženiring programske opreme-UNI-Redni,410,Robert Leskovar,P,Uvod v inženiring programske opreme,,,,,,
2022-10-12T11:30:00+00:00,2022-10-12T12:00:00+00:00,"Zagovor diplome: Jeromel Gal - - Mentor: Alenka Baggia/FOV, somentor: Brane Šmitek/FOV-UNI-Redni",707 Diplomska soba,Robert Leskovar,Zagovor,Zagovor,,,,,,
2020-01-31T10:00:00+00:00,2020-01-31T10:30:00+00:00,"Zagovor magisterija: Oman Timo - - Mentor: Robert Leskovar/FOV, somentor: -MAG-Redni",707 Diplomska soba,Robert Leskovar,Zagovor,Zagovor,,,,,,
2024-11-20T08:00:00+00:00,2024-11-20T10:30:00+00:00,P-Osnove inženiringa in programske opreme-VS-Redni,410,Robert Leskovar,P,Osnove inženiringa in programske opreme,,,,,,
2024-12-12T08:00:00+00:00,2024-12-12T10:30:00+00:00,P-Kakovost programske opreme-MAG-Redni,403,Robert Leskovar,P,Kakovost programske opreme,,,,,,
2024-10-15T10:45:00+00:00,2024-10-15T13:15:00+00:00,P-Uvod v inženiring programske opreme-UNI-Redni,410,Robert Leskovar,P,Uvod v inženiring programske opreme,,,,,,
2024-10-09T10:45:00+00:00,2024-10-09T13:15:00+00:00,P-Uvod v inženiring programske opreme-UNI-Redni,410,Robert Leskovar,P,Uvod v inženiring programske opreme,,,,,,
2023-09-04T09:00:00+00:00,2023-09-04T09:30:00+00:00,"Zagovor diplome: Markun Andreja - - Mentor: Alenka Brezavšček/FOV, somentor: -UNI-Redni",707 Diplomska soba,Robert Leskovar,Zagovor,Zagovor,,,,,,
2024-10-14T10:45:00+00:00,2024-10-14T13:15:00+00:00,e-P-Uvod v inženiring programske opreme-UNI-Redni,E-učilnica,Robert Leskovar,e-P,Uvod v inženiring programske opreme,,,,,,
2024-12-23T08:00:00+00:00,2024-12-23T10:30:00+00:00,P-Kakovost programske opreme-MAG-Redni,410,Robert Leskovar,P,Kakovost programske opreme,,,,,,
2024-11-21T08:00:00+00:00,2024-11-21T10:30:00+00:00,e-P-Osnove inženiringa in programske opreme-VS-Redni,E-učilnica,Robert Leskovar,e-P,Osnove inženiringa in programske opreme,,,,,,
2024-11-25T08:00:00+00:00,2024-11-25T10:30:00+00:00,e-P-Osnove inženiringa in programske opreme-VS-Redni,E-učilnica,Robert Leskovar,e-P,Osnove inženiringa in programske opreme,,,,,,
2024-12-20T08:00:00+00:00,2024-12-20T10:30:00+00:00,e-P-Kakovost programske opreme-MAG-Redni,E-učilnica,Robert Leskovar,e-P,Kakovost programske opreme,,,,,,
2024-09-09T09:00:00+00:00,2024-09-09T09:30:00+00:00,"Zagovor diplome: Novak Žan - - Mentor: Robert Leskovar/FOV, somentor: -UNI-Redni",707 Diplomska soba,Robert Leskovar,Zagovor,Zagovor,,,,,,
2023-11-23T13:30:00+00:00,2023-11-23T14:00:00+00:00,"Zagovor diplome: Zupan Aljaž - - Mentor: Borut Werber/FOV, somentor: Robert Leskovar/FOV-VS-Redni",707 Diplomska soba,Robert Leskovar,Zagovor,Zagovor,,,,,,
2024-10-07T17:00:00+00:00,2024-10-07T21:05:00+00:00,Konzultacije-Osnove inženiringa in programske opreme-VS-Izredni,410,Robert Leskovar,Konzultacije * VS-I,Osnove inženiringa in programske opreme-,,,,,,
2025-01-07T08:00:00+00:00,2025-01-07T10:30:00+00:00,e-P-Kakovost programske opreme-MAG-Redni,E-učilnica,Robert Leskovar,e-P,Kakovost programske opreme,,,,,,
2022-11-30T11:00:00+00:00,2022-11-30T11:30:00+00:00,"Zagovor magisterija: Sitar Marinka - - Mentor: Alenka Baggia/FOV, somentor: Andrej Škraba/FOV-MAG-Redni",707 Diplomska soba,Robert Leskovar,Zagovor,Zagovor,,,,,,
2024-03-21T10:00:00+00:00,2024-03-21T10:30:00+00:00,"Zagovor magisterija: Polajnar Tadej - - Mentor: Alenka Baggia/FOV, somentor: -MAG-Redni",707 Diplomska soba,Robert Leskovar,Zagovor,Zagovor,,,,,,
2024-10-08T10:45:00+00:00,2024-10-08T13:15:00+00:00,P-Uvod v inženiring programske opreme-UNI-Redni,410,Robert Leskovar,P,Uvod v inženiring programske opreme,,,,,,
2024-10-02T14:15:00+00:00,2024-10-02T16:45:00+00:00,Konzultacije-Računalništvo in informatika - Pred.(tuji študenti)-UNI-Redni,302,Robert Leskovar,Konzultacije *  Pre,Računalništvo in informatika -,,,,,,
2020-01-27T10:00:00+00:00,2020-01-27T10:30:00+00:00,"Zagovor magisterija: Oman Timo - - Mentor: Robert Leskovar/FOV, somentor: -MAG-Redni",707 Diplomska soba,Robert Leskovar,Zagovor,Zagovor,,,,,,
2024-11-05T08:00:00+00:00,2024-11-05T10:30:00+00:00,P-Osnove inženiringa in programske opreme-VS-Redni,410,Robert Leskovar,P,Osnove inženiringa in programske opreme,,,,,,
2024-12-11T08:00:00+00:00,2024-12-11T10:30:00+00:00,P-Kakovost programske opreme-MAG-Redni,403,Robert Leskovar,P,Kakovost programske opreme,,,,,,
2023-09-28T13:30:00+00:00,2023-09-28T14:00:00+00:00,"Zagovor magisterija: đelik Nejc - - Mentor: Mirjana Kljajić Borštnar/FOV, somentor: -MAG-Redni",707 Diplomska soba,Robert Leskovar,Zagovor,Zagovor,,,,,,
2024-12-13T08:00:00+00:00,2024-12-13T10:30:00+00:00,e-P-Kakovost programske opreme-MAG-Redni,E-učilnica,Robert Leskovar,e-P,Kakovost programske opreme,,,,,,
2025-01-07T10:45:00+00:00,2025-01-07T13:15:00+00:00,P-Projekt izgradnje informacijskega sistema-UNI-Redni,410,Robert Leskovar,P,Projekt izgradnje informacijskega sistema,,,,,,
2024-10-01T08:00:00+00:00,2024-10-01T10:30:00+00:00,P-Računalništvo in informatika-UNI-Redni,301,Robert Leskovar,P,Računalništvo in informatika,,,,,,
2019-09-10T13:00:00+00:00,2019-09-10T13:30:00+00:00,"Zagovor magisterija: Ferencek Aljaž - - Mentor: Robert Leskovar/FOV, somentor: -MAG-Redni",707 Diplomska soba,Robert Leskovar,Zagovor,Zagovor,,,,,,
