id,naziv,urnik_url,insert,narekovaj
1115,Izr_24/25_MA_INFS_1,,,'
1116,Izr_24/25_MA_IPOS_1,,,'
1117,Izr_24/25_MA_KAIS_1,,,'
1118,Izr_24/25_MA_MSPO_1,,,'
1119,Izr_24/25_MA_KRIM_1,,,'
1120,Izr_24/25_MA_***_2,,,'
1121,Izr_24/25_MA_INFS_2,,,'
1122,Izr_24/25_MA_IPOS_2,,,'
1123,Izr_24/25_MA_KAIS_2,,,'
1124,Izr_24/25_MA_MSPO_2,,,'
1125,Izr_24/25_MA_MZSV_2,,,'
1126,Izr_24/25_MA_IPOS+KAIS_2,,,'
1127,Izr_24/25_MA_****_3,,,'
1128,Izr_24/25_DO_***_1,,,'
1129,Izr_24/25_DO_INFS_1,,,'
1130,Izr_24/25_DO_IPOS_1,,,'
1131,Izr_24/25_DO_KAIS_1,,,'
1132,Izr_24/25_DO_***_2,,,'
1133,Izr_24/25_DO_INFS_2,,,'
1134,Izr_24/25_DO_IPOS_2,,,'
1135,Izr_24/25_DO_KAIS_2,,,'
1136,Red_24/25_VS_****_1,,,'
1137,Red_24/25_VS_INFS_1,,,'
1138,Red_24/25_VS_IPOS_1,,,'
1139,Red_24/25_VS_KAIS_1,,,'
1140,Red_24/25_VS_****_1_skupina_15A_1,,,'
1141,Red_24/25_VS_****_1_skupina_15A_2,,,'
1142,Red_24/25_VS_****_1_skupina_15A_3,,,'
1143,Red_24/25_VS_****_1_skupina_15A_4,,,'
1144,Red_24/25_VS_****_1_skupina_15A_5,,,'
1145,Red_24/25_VS_****_1_skupina_15A_6,,,'
1146,Red_24/25_VS_****_1_skupina_15A_7,,,'
1147,Red_24/25_VS_****_1_skupina_15A_8,,,'
1148,Red_24/25_VS_****_1_skupina_30B_1,,,'
1149,Red_24/25_VS_****_1_skupina_30B_2,,,'
1150,Red_24/25_VS_****_1_skupina_30B_3,,,'
1151,Red_24/25_VS_****_1_skupina_30B_4,,,'
1152,Red_24/25_VS_****_2,,,'
1153,Red_24/25_VS_INFS_2,,,'
1154,Red_24/25_VS_IPOS_2,,,'
