skupina,dtstamp,dtstart,dtend,trigger,location,description
https://urnik.fov.um.si/Program/calendars/03---1-letnik-VS-Kadrovsko-izobrazevalni-sistemi-Redni,2024-12-12T11:46:41+00:00,2024-12-03T08:00:00+00:00,2024-12-03T10:30:00+00:00,-1 days +23:30:00,306,V-AngleÅ¡ki poslovni jezik-1. skupina-VS-Redni
https://urnik.fov.um.si/Program/calendars/03---1-letnik-VS-Kadrovsko-izobrazevalni-sistemi-Redni,2024-12-12T11:46:45+00:00,2025-05-13T08:00:00+00:00,2025-05-13T10:30:00+00:00,-1 days +23:30:00,111,V-Kadrovski management-1. skupina-VS-Redni
https://urnik.fov.um.si/Program/calendars/03---1-letnik-VS-Kadrovsko-izobrazevalni-sistemi-Redni,2024-12-12T11:46:43+00:00,2025-03-25T08:00:00+00:00,2025-03-25T10:30:00+00:00,-1 days +23:30:00,410,V-RaÄunalniÅ¡tvo in informatika-2.a skupina-VS-Redni
https://urnik.fov.um.si/Program/calendars/03---1-letnik-VS-Kadrovsko-izobrazevalni-sistemi-Redni,2024-12-12T11:46:43+00:00,2025-03-18T17:00:00+00:00,2025-03-18T19:30:00+00:00,-1 days +23:30:00,E-uÄilnica,e-V-Osnove poslovodenja in raÄunovodstva-2. skupina-VS-Redni
https://urnik.fov.um.si/Program/calendars/03---1-letnik-VS-Kadrovsko-izobrazevalni-sistemi-Redni,2024-12-12T11:46:40+00:00,2024-11-08T08:00:00+00:00,2024-11-08T10:30:00+00:00,-1 days +23:30:00,111,V-Osnove prava-VS-Redni
https://urnik.fov.um.si/Program/calendars/03---1-letnik-VS-Kadrovsko-izobrazevalni-sistemi-Redni,2024-12-12T11:46:46+00:00,2025-05-29T10:45:00+00:00,2025-05-29T13:15:00+00:00,-1 days +23:30:00,111,V-Kadrovski management-3. skupina-VS-Redni
https://urnik.fov.um.si/Program/calendars/03---1-letnik-VS-Kadrovsko-izobrazevalni-sistemi-Redni,2024-12-12T11:46:41+00:00,2024-12-10T08:00:00+00:00,2024-12-10T10:30:00+00:00,-1 days +23:30:00,401,P-Osnove matematike v organizacijskih vedah - 2. kolokvij-VS-Redni
https://urnik.fov.um.si/Program/calendars/03---1-letnik-VS-Kadrovsko-izobrazevalni-sistemi-Redni,2024-12-12T11:46:39+00:00,2024-10-08T08:00:00+00:00,2024-10-08T10:30:00+00:00,-1 days +23:30:00,111,P-Osnove naravoslovja in tehnologije-VS-Redni
https://urnik.fov.um.si/Program/calendars/03---1-letnik-VS-Kadrovsko-izobrazevalni-sistemi-Redni,2024-12-12T11:46:45+00:00,2025-04-24T14:15:00+00:00,2025-04-24T16:45:00+00:00,-1 days +23:30:00,413,V-RaÄunalniÅ¡tvo in informatika-2.b skupina-VS-Redni
https://urnik.fov.um.si/Program/calendars/03---1-letnik-VS-Kadrovsko-izobrazevalni-sistemi-Redni,2024-12-12T11:46:42+00:00,2025-01-16T08:00:00+00:00,2025-01-16T10:30:00+00:00,-1 days +23:30:00,E-uÄilnica,e-P-AngleÅ¡ki poslovni jezik-VS-Redni
